Line number,townhall_name,email
1,Ableiges,mairie.ableiges95@wanadoo.fr
2,Aincourt,mairie.aincourt@orange.fr
3,Ambleville,mairie@ville-ambleville.fr
4,Amenucourt,mairie.amenucourt@wanadoo.fr
5,Andilly,secretariat@mairie-andilly.fr
6,Argenteuil,Email non trouvé
7,Arnouville,sgeneral@arnouville95.org
8,Arronville,arronville@wanadoo.fr
9,Arthies,Email non trouvé
10,Asnières-sur-Oise,mairie@aso95.fr
11,Attainville,mairie@attainville.fr
12,Auvers-sur-Oise,sec.gen@ville-auverssuroise.fr
13,Avernes,mairie@avernes95.fr
14,Baillet-en-France,info@baillet-en-france.fr
15,Banthelu,mairie.banthelu@wanadoo.fr
16,Beauchamp,etat-civil@ville-beauchamp.fr
17,Beaumont-sur-Oise,accueil.mairie@beaumontsuroise.fr
18,Bellefontaine,mairiesecretariat@bellefontaine.fr
19,Belloy-en-France,mairie@belloy-en-france.fr
20,Bernes-sur-Oise,mairie@bernes95.fr
